15	10	E	-9002718.417558074	181
emissionprobs	3	7	H3k27ac	0	0.9939558472494459
emissionprobs	3	7	H3k27ac	1	0.006044152750554128
emissionprobs	3	8	H3k36me3	0	0.28212250846079745
emissionprobs	3	8	H3k36me3	1	0.7178774915392026
emissionprobs	3	9	H4k20me1	0	0.9673370515170447
emissionprobs	3	9	H4k20me1	1	0.0326629484829553
emissionprobs	4	0	Ctcf	0	0.9987279362007655
emissionprobs	4	0	Ctcf	1	0.0012720637992345181
emissionprobs	4	1	Ezh239875	0	0.98272613464815
emissionprobs	4	1	Ezh239875	1	0.01727386535185004
emissionprobs	4	2	H2az	0	0.9979098892684015
emissionprobs	4	2	H2az	1	0.0020901107315985075
emissionprobs	4	3	H3k04me2	0	0.9995165494509088
emissionprobs	4	3	H3k04me2	1	4.8345054909120015E-4
emissionprobs	4	4	H3k04me3	0	0.9999907917515248
emissionprobs	4	4	H3k04me3	1	9.208248475082514E-6
emissionprobs	4	5	H3k09ac	0	0.9852166768667671
emissionprobs	4	5	H3k09ac	1	0.014783323133232934
emissionprobs	4	6	H3k09me3	0	0.9982128792060466
emissionprobs	4	6	H3k09me3	1	0.0017871207939533407
emissionprobs	4	7	H3k27ac	0	0.9875755520484875
emissionprobs	4	7	H3k27ac	1	0.012424447951512567
emissionprobs	4	8	H3k36me3	0	0.9397331278208684
emissionprobs	4	8	H3k36me3	1	0.060266872179131604
emissionprobs	4	9	H4k20me1	0	0.9910623740984796
emissionprobs	4	9	H4k20me1	1	0.008937625901520271
emissionprobs	5	0	Ctcf	0	0.9287073012384256
emissionprobs	5	0	Ctcf	1	0.07129269876157439
emissionprobs	5	1	Ezh239875	0	0.9669282473509561
emissionprobs	5	1	Ezh239875	1	0.03307175264904391
emissionprobs	5	2	H2az	0	0.9935799694532688
emissionprobs	5	2	H2az	1	0.006420030546731311
emissionprobs	5	3	H3k04me2	0	0.8749524107079859
emissionprobs	5	3	H3k04me2	1	0.125047589292014
emissionprobs	5	4	H3k04me3	0	0.9977014347554966
emissionprobs	5	4	H3k04me3	1	0.0022985652445035453
emissionprobs	5	5	H3k09ac	0	0.7590431614481454
emissionprobs	5	5	H3k09ac	1	0.24095683855185457
emissionprobs	5	6	H3k09me3	0	0.9932781751595631
emissionprobs	5	6	H3k09me3	1	0.006721824840436921
emissionprobs	5	7	H3k27ac	0	0.21576044581274179
emissionprobs	5	7	H3k27ac	1	0.7842395541872583
emissionprobs	5	8	H3k36me3	0	0.35806617715759576
emissionprobs	5	8	H3k36me3	1	0.6419338228424042
emissionprobs	5	9	H4k20me1	0	0.6903083685917102
emissionprobs	5	9	H4k20me1	1	0.30969163140828987
emissionprobs	6	0	Ctcf	0	0.9474610831380255
emissionprobs	6	0	Ctcf	1	0.052538916861974476
emissionprobs	6	1	Ezh239875	0	0.9564547153434384
emissionprobs	6	1	Ezh239875	1	0.0435452846565615
emissionprobs	6	2	H2az	0	0.7665941519050123
emissionprobs	6	2	H2az	1	0.23340584809498754
emissionprobs	6	3	H3k04me2	0	0.7559968471103153
emissionprobs	6	3	H3k04me2	1	0.24400315288968472
emissionprobs	6	4	H3k04me3	0	0.9918828462979776
emissionprobs	6	4	H3k04me3	1	0.008117153702022444
emissionprobs	6	5	H3k09ac	0	0.5988274511567606
emissionprobs	6	5	H3k09ac	1	0.4011725488432395
emissionprobs	6	6	H3k09me3	0	0.9878551956773014
emissionprobs	6	6	H3k09me3	1	0.01214480432269871
emissionprobs	6	7	H3k27ac	0	0.14419774403528893
emissionprobs	6	7	H3k27ac	1	0.8558022559647112
emissionprobs	6	8	H3k36me3	0	0.9901441365930596
emissionprobs	6	8	H3k36me3	1	0.009855863406940397
emissionprobs	6	9	H4k20me1	0	0.9951356999294078
emissionprobs	6	9	H4k20me1	1	0.004864300070592249
emissionprobs	7	0	Ctcf	0	0.7655940110980721
emissionprobs	7	0	Ctcf	1	0.23440598890192782
emissionprobs	7	1	Ezh239875	0	0.8849213161551504
emissionprobs	7	1	Ezh239875	1	0.11507868384484966
emissionprobs	7	2	H2az	0	0.1764196400604118
emissionprobs	7	2	H2az	1	0.8235803599395882
emissionprobs	7	3	H3k04me2	0	0.011166252942924325
emissionprobs	7	3	H3k04me2	1	0.9888337470570756
emissionprobs	7	4	H3k04me3	0	0.0556624641424641
emissionprobs	7	4	H3k04me3	1	0.9443375358575359
emissionprobs	7	5	H3k09ac	0	0.017897436236536217
emissionprobs	7	5	H3k09ac	1	0.9821025637634637
emissionprobs	7	6	H3k09me3	0	0.9971591169322129
emissionprobs	7	6	H3k09me3	1	0.002840883067786969
emissionprobs	7	7	H3k27ac	0	0.10683619668957518
emissionprobs	7	7	H3k27ac	1	0.8931638033104249
emissionprobs	7	8	H3k36me3	0	0.994185954895198
emissionprobs	7	8	H3k36me3	1	0.005814045104801989
emissionprobs	7	9	H4k20me1	0	0.938181855157045
emissionprobs	7	9	H4k20me1	1	0.061818144842954996
emissionprobs	8	0	Ctcf	0	0.8845703291623662
emissionprobs	8	0	Ctcf	1	0.1154296708376337
emissionprobs	8	1	Ezh239875	0	0.8782139711610549
emissionprobs	8	1	Ezh239875	1	0.12178602883894515
emissionprobs	8	2	H2az	0	0.7082157829366461
emissionprobs	8	2	H2az	1	0.29178421706335395
emissionprobs	8	3	H3k04me2	0	0.14464356758957428
emissionprobs	8	3	H3k04me2	1	0.8553564324104257
emissionprobs	8	4	H3k04me3	0	0.6026999739220964
emissionprobs	8	4	H3k04me3	1	0.3973000260779036
emissionprobs	8	5	H3k09ac	0	0.7848632001410477
emissionprobs	8	5	H3k09ac	1	0.21513679985895232
emissionprobs	8	6	H3k09me3	0	0.9936779716341723
emissionprobs	8	6	H3k09me3	1	0.006322028365827723
emissionprobs	8	7	H3k27ac	0	0.9123587341248175
emissionprobs	8	7	H3k27ac	1	0.08764126587518244
emissionprobs	8	8	H3k36me3	0	0.9963163144038206
emissionprobs	8	8	H3k36me3	1	0.003683685596179377
emissionprobs	8	9	H4k20me1	0	0.9682876081693409
emissionprobs	8	9	H4k20me1	1	0.031712391830659103
emissionprobs	9	0	Ctcf	0	0.938532291014087
emissionprobs	9	0	Ctcf	1	0.06146770898591305
emissionprobs	9	1	Ezh239875	0	0.9501875717170486
emissionprobs	9	1	Ezh239875	1	0.04981242828295141
emissionprobs	9	2	H2az	0	0.9704346795806207
emissionprobs	9	2	H2az	1	0.029565320419379336
emissionprobs	9	3	H3k04me2	0	2.3112870221204233E-4
emissionprobs	9	3	H3k04me2	1	0.9997688712977879
emissionprobs	9	4	H3k04me3	0	0.06868709368273705
emissionprobs	9	4	H3k04me3	1	0.9313129063172629
emissionprobs	9	5	H3k09ac	0	0.2014988873537143
emissionprobs	9	5	H3k09ac	1	0.7985011126462856
emissionprobs	9	6	H3k09me3	0	0.9952878995713518
emissionprobs	9	6	H3k09me3	1	0.004712100428648151
emissionprobs	9	7	H3k27ac	0	0.45059343293606335
emissionprobs	9	7	H3k27ac	1	0.5494065670639365
emissionprobs	9	8	H3k36me3	0	0.6029389349549704
emissionprobs	9	8	H3k36me3	1	0.39706106504502964
emissionprobs	9	9	H4k20me1	0	0.3446679259900461
emissionprobs	9	9	H4k20me1	1	0.6553320740099539
emissionprobs	10	0	Ctcf	0	0.980985081774536
emissionprobs	10	0	Ctcf	1	0.019014918225463983
emissionprobs	10	1	Ezh239875	0	0.9701565157428704
emissionprobs	10	1	Ezh239875	1	0.029843484257129623
emissionprobs	10	2	H2az	0	0.999824398399692
emissionprobs	10	2	H2az	1	1.756016003080541E-4
emissionprobs	10	3	H3k04me2	0	0.2161164197975252
emissionprobs	10	3	H3k04me2	1	0.7838835802024747
emissionprobs	10	4	H3k04me3	0	0.8518797745515717
emissionprobs	10	4	H3k04me3	1	0.14812022544842826
emissionprobs	10	5	H3k09ac	0	0.8671452794182807
emissionprobs	10	5	H3k09ac	1	0.13285472058171932
emissionprobs	10	6	H3k09me3	0	0.9982395602146131
emissionprobs	10	6	H3k09me3	1	0.0017604397853868998
emissionprobs	10	7	H3k27ac	0	0.9354654371314859
emissionprobs	10	7	H3k27ac	1	0.06453456286851407
emissionprobs	10	8	H3k36me3	0	0.5344144377961607
emissionprobs	10	8	H3k36me3	1	0.4655855622038393
emissionprobs	10	9	H4k20me1	0	0.4412675942097811
emissionprobs	10	9	H4k20me1	1	0.5587324057902189
emissionprobs	11	0	Ctcf	0	0.9707465681015074
emissionprobs	11	0	Ctcf	1	0.02925343189849263
emissionprobs	11	1	Ezh239875	0	0.9457873199086821
emissionprobs	11	1	Ezh239875	1	0.05421268009131791
emissionprobs	11	2	H2az	0	0.966882173552928
emissionprobs	11	2	H2az	1	0.03311782644707199
emissionprobs	11	3	H3k04me2	0	0.9937823495065026
emissionprobs	11	3	H3k04me2	1	0.0062176504934973965
emissionprobs	11	4	H3k04me3	0	0.9075939301873424
emissionprobs	11	4	H3k04me3	1	0.09240606981265763
emissionprobs	11	5	H3k09ac	0	0.9860255923426062
emissionprobs	11	5	H3k09ac	1	0.013974407657393691
emissionprobs	11	6	H3k09me3	0	0.28050743761137026
emissionprobs	11	6	H3k09me3	1	0.7194925623886298
emissionprobs	11	7	H3k27ac	0	0.9586055494720807
emissionprobs	11	7	H3k27ac	1	0.041394450527919374
emissionprobs	11	8	H3k36me3	0	0.3266033744417855
emissionprobs	11	8	H3k36me3	1	0.6733966255582144
emissionprobs	11	9	H4k20me1	0	0.964862775990116
emissionprobs	11	9	H4k20me1	1	0.03513722400988404
emissionprobs	12	0	Ctcf	0	0.9956891802266288
emissionprobs	12	0	Ctcf	1	0.004310819773371191
emissionprobs	12	1	Ezh239875	0	0.9675817471381009
emissionprobs	12	1	Ezh239875	1	0.03241825286189911
emissionprobs	12	2	H2az	0	0.9834372998465412
emissionprobs	12	2	H2az	1	0.016562700153458888
emissionprobs	12	3	H3k04me2	0	0.9999210587408253
emissionprobs	12	3	H3k04me2	1	7.89412591746922E-5
emissionprobs	12	4	H3k04me3	0	0.9986948408928088
emissionprobs	12	4	H3k04me3	1	0.0013051591071911505
emissionprobs	12	5	H3k09ac	0	0.9960654947621301
emissionprobs	12	5	H3k09ac	1	0.003934505237869939
emissionprobs	12	6	H3k09me3	0	0.622151858400348
emissionprobs	12	6	H3k09me3	1	0.3778481415996519
emissionprobs	12	7	H3k27ac	0	0.9972009637861895
emissionprobs	12	7	H3k27ac	1	0.0027990362138104897
emissionprobs	12	8	H3k36me3	0	0.9950405943873312
emissionprobs	12	8	H3k36me3	1	0.004959405612668828
emissionprobs	12	9	H4k20me1	0	0.9993149759780598
emissionprobs	12	9	H4k20me1	1	6.850240219402281E-4
emissionprobs	13	0	Ctcf	0	0.9996159820889624
emissionprobs	13	0	Ctcf	1	3.840179110376482E-4
emissionprobs	13	1	Ezh239875	0	0.9757571250354244
emissionprobs	13	1	Ezh239875	1	0.02424287496457551
emissionprobs	13	2	H2az	0	0.9974171542075688
emissionprobs	13	2	H2az	1	0.002582845792431182
emissionprobs	13	3	H3k04me2	0	0.9999744296848803
emissionprobs	13	3	H3k04me2	1	2.5570315119790773E-5
emissionprobs	13	4	H3k04me3	0	0.9999953355436311
emissionprobs	13	4	H3k04me3	1	4.664456369053927E-6
emissionprobs	13	5	H3k09ac	0	0.9966699953427008
emissionprobs	13	5	H3k09ac	1	0.003330004657299203
emissionprobs	13	6	H3k09me3	0	0.9964585767661247
emissionprobs	13	6	H3k09me3	1	0.0035414232338753775
emissionprobs	13	7	H3k27ac	0	0.9999715011939083
emissionprobs	13	7	H3k27ac	1	2.8498806091663475E-5
emissionprobs	13	8	H3k36me3	0	0.9998972373413886
emissionprobs	13	8	H3k36me3	1	1.0276265861137021E-4
emissionprobs	13	9	H4k20me1	0	0.9999033244697773
emissionprobs	13	9	H4k20me1	1	9.667553022277362E-5
emissionprobs	14	0	Ctcf	0	0.999867897149445
emissionprobs	14	0	Ctcf	1	1.3210285055496922E-4
emissionprobs	14	1	Ezh239875	0	0.9371345751058152
emissionprobs	14	1	Ezh239875	1	0.06286542489418476
emissionprobs	14	2	H2az	0	0.9846685732241065
emissionprobs	14	2	H2az	1	0.015331426775893435
emissionprobs	14	3	H3k04me2	0	0.999880695341962
emissionprobs	14	3	H3k04me2	1	1.1930465803801859E-4
emissionprobs	14	4	H3k04me3	0	0.9999937153331571
emissionprobs	14	4	H3k04me3	1	6.284666842949383E-6
emissionprobs	14	5	H3k09ac	0	0.9869778121778082
emissionprobs	14	5	H3k09ac	1	0.013022187822191738
emissionprobs	14	6	H3k09me3	0	0.9985598443996991
